,Ward,Race-White_pct,Race-Black_pct,Race-Asian_pct,Ethnicity-Hispanic_pct,Income-24999_minus_pct,Income-25000-49999_pct,Income-50000-99999_pct,Income-100000-149999_pct,Income-150000_plus_pct
0,1,78.92,5.54,4.02,34.38,17.54,15.25,28.21,17.65,21.34
1,2,80.23,7.06,6.96,9.71,16.73,11.76,27.36,16.57,27.58
2,3,23.16,63.03,9.81,4.82,33.11,16.03,23.03,13.22,14.61
3,4,25.02,60.88,10.35,4.3,34.69,17.76,23.36,11.39,12.8
4,5,24.77,62.83,7.82,4.28,40.5,18.29,23.67,8.64,8.91
5,6,1.19,96.38,0.07,1.82,45.01,23.37,23.7,5.03,2.89
6,7,6.01,91.3,0.11,5.07,46.26,22.96,21.68,7.3,1.8
7,8,1.62,96.77,0.24,1.21,38.52,25.69,24.18,8.08,3.53
8,9,5.61,92.55,0.15,4.96,38.72,24.75,24.84,7.99,3.7
9,10,66.54,25.22,0.23,59.49,34.32,25.26,27.32,9.13,3.97
10,11,47.3,6.97,35.6,22.98,27.46,24.0,26.41,12.5,9.63
11,12,44.05,12.96,9.25,68.69,30.14,31.55,26.76,8.28,3.27
12,13,61.67,2.43,0.42,66.53,16.64,25.68,34.07,15.91,7.7
13,14,51.85,1.84,2.78,81.58,24.37,29.86,31.33,9.84,4.6
14,15,45.96,19.26,1.98,73.88,36.61,34.26,22.0,4.99,2.13
15,16,17.16,55.68,0.32,41.78,44.72,29.07,20.18,4.36,1.67
16,17,9.5,75.48,0.29,19.79,41.31,30.79,20.74,5.09,2.07
17,18,31.36,47.8,0.61,33.12,19.31,22.82,35.66,15.31,6.9
18,19,73.18,19.71,1.42,10.68,13.31,18.49,31.9,18.22,18.09
19,20,14.59,77.69,1.72,13.8,53.01,24.54,16.21,4.43,1.81
20,21,1.18,96.84,0.24,1.15,37.97,23.43,25.98,8.59,4.02
21,22,58.47,5.54,0.41,85.69,30.71,32.85,26.02,7.91,2.5
22,23,62.46,2.28,1.61,68.36,18.88,25.87,32.15,15.59,7.51
23,24,13.02,74.93,0.28,22.0,45.5,27.1,20.35,5.37,1.68
24,25,52.65,8.27,15.29,48.07,27.08,20.27,25.88,12.03,14.74
25,26,49.68,11.7,1.66,60.68,26.98,24.24,27.84,12.06,8.88
26,27,36.97,47.37,5.17,14.4,32.28,14.93,21.22,13.39,18.19
27,28,14.92,74.88,4.71,8.19,46.4,21.73,21.03,5.57,5.26
28,29,37.78,48.36,1.48,23.98,31.14,23.4,26.19,10.36,8.9
29,30,68.82,2.0,3.14,66.64,20.36,28.69,30.68,12.32,7.95
30,31,53.55,3.18,1.92,76.84,26.42,25.25,30.96,11.43,5.94
31,32,85.84,2.84,5.47,17.77,9.23,9.96,25.5,18.8,36.51
32,33,71.64,4.41,9.26,47.93,19.94,24.22,29.62,14.15,12.08
33,34,2.88,93.01,0.19,3.5,33.38,24.0,27.52,11.02,4.07
34,35,65.3,5.04,5.74,65.61,25.68,25.63,28.81,11.76,8.11
35,36,55.91,3.5,4.11,68.97,20.57,27.98,31.27,13.76,6.43
36,37,8.04,71.26,0.37,26.0,40.7,27.9,23.41,5.49,2.5
37,38,82.86,1.55,4.72,24.7,19.54,20.31,33.82,16.5,9.84
38,39,66.88,2.66,19.0,23.4,17.7,19.27,28.5,16.32,18.22
39,40,67.28,6.39,16.86,21.87,20.79,22.92,26.56,15.06,14.67
40,41,86.31,1.16,5.21,14.1,17.36,17.73,30.52,16.4,17.99
41,42,73.34,4.62,18.51,5.98,12.23,8.49,25.32,18.39,35.57
42,43,83.93,5.01,6.96,5.6,13.54,10.77,27.47,18.03,30.2
43,44,86.15,3.03,7.02,6.85,13.74,15.14,28.47,18.86,23.79
44,45,77.63,1.62,7.96,26.87,16.16,20.11,32.72,16.95,14.06
45,46,67.71,18.39,7.65,12.88,27.39,18.54,27.77,14.4,11.9
46,47,85.33,2.65,5.58,12.23,10.93,16.32,29.62,18.22,24.92
47,48,66.05,14.91,12.94,14.5,27.55,24.5,27.89,10.81,9.25
48,49,56.92,28.42,5.9,20.15,32.8,25.99,26.21,9.1,5.9
49,50,56.45,12.83,21.91,17.0,22.01,25.95,28.31,13.19,10.54
